s,l,pnl,roi,pf,taken,skipped,min_cash,max_conc
200000,160000,28056063.930956535,2805.606393095654,5.318117709313874,8653,15211,0.0,7
90000,200000,27995169.929946117,2799.5169929946114,5.367793423339176,10899,12965,0.0,13
20000,360000,27955124.67625411,2795.512467625411,5.929804668343127,15054,8810,0.0,54
40000,280000,27843709.706774727,2784.370970677473,5.647261600196612,13193,10671,0.0,28
130000,180000,27727470.390111722,2772.747039011172,5.31242325606126,9785,14079,65.8310934738256,9
60000,260000,27719301.13134911,2771.9301131349107,5.483945927474291,11781,12083,0.0,20
180000,160000,27696310.112780504,2769.6310112780507,5.265537670927483,8897,14967,0.0,7
50000,240000,27667304.98671714,2766.7304986717136,5.498609887997783,12680,11184,0.0,24
10000,360000,27633440.22750273,2763.344022750273,6.108068560293429,16478,7386,0.0,104
30000,340000,27555148.64147602,2755.514864147602,5.815482238576975,13819,10045,0.0,38
160000,160000,27534855.72209145,2753.485572209145,5.328701536220725,9405,14459,101.53588776825927,8
120000,180000,27522033.425944496,2752.2033425944496,5.239514241043024,10089,13775,28.38096797664184,10
170000,160000,27494872.288975883,2749.4872288975885,5.233990377970387,9111,14753,0.0,8
40000,340000,27492549.978052903,2749.2549978052903,5.6012519218363925,12783,11081,0.0,30
40000,240000,27445934.29834116,2744.593429834116,5.491712256219109,13569,10295,0.0,29
70000,220000,27445753.582360666,2744.5753582360667,5.292805746232238,11599,12265,0.0,17
60000,240000,27440447.237913523,2744.044723791352,5.425015537721997,11971,11893,216.98558213270735,20
80000,200000,27385174.141672537,2738.5174141672537,5.283194506744243,11341,12523,0.0,15
30000,280000,27291352.713110585,2729.135271311058,5.539859269118368,14221,9643,0.0,38
110000,180000,27267785.25849951,2726.778525849951,5.212270836172144,10475,13389,65.8456649108557,11
60000,220000,27238790.4054092,2723.87904054092,5.286837580495479,12274,11590,0.0,19
20000,280000,27224599.433441646,2722.4599433441645,5.67148471409543,15666,8198,0.0,54
10000,340000,27079667.581160083,2707.9667581160084,6.122612246388528,16612,7252,0.0,104
20000,340000,27022968.418594174,2702.2968418594173,5.829267197864293,15160,8704,0.0,54
150000,160000,26963871.902703322,2696.387190270332,5.283598876522046,9500,14364,83.07803830667399,8
50000,260000,26889343.50144505,2688.934350144505,5.450833803087961,12515,11349,0.0,24
140000,160000,26868301.870625675,2686.8301870625673,5.14435796051729,9927,13937,0.0,9
100000,180000,26858459.578582812,2685.8459578582815,5.203627097427142,10805,13059,0.0,12
40000,260000,26844936.716516208,2684.493671651621,5.501253436900933,13297,10567,0.0,29
10000,280000,26825748.386510905,2682.5748386510904,5.707788638826238,17247,6617,0.0,104
70000,200000,26793299.86976867,2679.329986976867,5.162650349463685,11911,11953,0.0,16
50000,220000,26791865.219305053,2679.186521930505,5.288479094148012,13026,10838,0.0,24
200000,140000,26638138.789764103,2663.8138789764103,5.074832410347388,8997,14867,0.0,9
130000,160000,26600407.738337737,2660.0407738337735,5.200982300019698,10061,13803,0.0,9
90000,180000,26566976.05954283,2656.697605954283,5.0941482889680145,11214,12650,428.6382608485874,13
20000,260000,26519251.068423834,2651.9251068423832,5.615902292934764,15846,8018,0.0,54
30000,260000,26414277.651424885,2641.4277651424886,5.465876362993189,14416,9448,0.0,38
190000,140000,26405679.443218924,2640.5679443218924,5.074606453187221,9112,14752,8.9177231391659,9
30000,240000,26374687.56439194,2637.4687564391943,5.350401876281992,14778,9086,13.846395043772645,38
180000,140000,26315478.220831446,2631.5478220831446,5.0774379612835885,9286,14578,0.0,9
20000,240000,26274383.138465405,2627.4383138465405,5.379939106939661,16122,7742,0.0,54
10000,240000,26262139.97638029,2626.213997638029,5.492824918633307,17705,6159,0.0,104
120000,160000,26171530.174271777,2617.1530174271775,5.045170822238352,10444,13420,0.0,10
60000,200000,26044646.240167886,2604.4646240167885,5.132480682534467,12497,11367,0.0,20
170000,140000,25994658.688507803,2599.46586885078,5.036262858151244,9483,14381,102.50509962718934,9
80000,180000,25906203.760716528,2590.620376071653,5.052361569564327,11645,12219,0.0,14
110000,160000,25841480.208651032,2584.1480208651033,5.032117999606348,10762,13102,12.547759412322193,11
